Scoop up water	㧾水
My company has started a branch in mainland China and has asked me to go there to work.	我公司喺內地開咗間分行，叫我過檔過去。
When I was playing poker with him, his full house defeated my two pairs.	我同佢玩𠵿牌時，佢嘅夫佬打敗我嘅兩𠵿。
My situation is the same as this guy's, so is there any way to solve it?	我同呢個巴打嘅情況一樣，有冇解決辦法？
I've been dating Aa Wong for ten years, and it seems like he's so afraid of getting married.	我同阿黃拍咗十年拖，佢好似好怕結婚噉。
We've got to catch the bus in a little while, so hurry up and don't move so slowly.	我哋一陣間要搭車，快啲啦，唔好咁懦氣。
We're going out to eat, so do we need to dress up smartly?	我哋今晚黑去邊度食飯啊，使唔使執正啊？
In the past we could shoot firecrackers during the Chinese New Year, but nowadays that is not allowed anymore.	我哋往陣時過年可以燒炮仗，而家唔得嘍。
Do we have a chance to be together? I want to know what you think.	我哋有冇可能喺埋一齊？我想知道你點諗。
The first time we went skiing on snow, everyone was falling down and staggering around.	我哋第一次去滑雪，個個都跌到一仆一碌。
That time we were hiking we saw three red muntjac and one porcupine.	我哋行山嗰陣見咗三隻赤麂同埋一隻箭豬。
As we have been walking for such a long time, of course some people are quite thirsty.	我哋行路行得咁耐，梗係有啲人好頸渴囉。
We're all the same family, so don't just talk about money all the time.	我哋都係一家人，咪開口埋口都淨係講錢。
After we've finished eating dinner, my husband and two sons all will help to tidy up the table.	我哋食完晚飯老公同兩個仔都會幫手執枱。
This is not what I mean, so for heaven's sake don't you get the wrong idea!	我唔係呢個意思㗎，你千祈唔好諗錯隔籬！
I'm not so familiar about the situation there, so please give me some guidance when the time comes.	我唔係咁熟嗰邊情况，到時麻煩你提點吓。
I don't drink milk. As soon as I drink it I then feel the pain of stomach cramps all the time.	我唔係飲牛奶嘅，覺得一飲就成日扭肚痛。
I don't want to work the evening shift because I want to help my son with his studies at night.	我唔想返夜，因為夜晚我想幫個仔溫功課。
Just now I gave him a phone call, so it's impossible that he left so soon.	我啱啱打過電話畀佢，冇理由咁快走咗啩。
That dead husband of mine also left behind some money for me.	我嗰個死鬼老公都有多少銀紙留落過我嘅。
I go to sleep quite late, but around five or so in the morning then I've woken up.	我好夜先瞓入眼，但晨早五點多啲就醒咗。
I would quite like to know a white boy who lives on Hong Kong island and make him my boyfriend.	我好想識個住喺香港島嘅鬼仔做我男朋友。
I will just try to say a few words, and while these are crude remarks, yet maybe they can draw forth better ones. I must apologize in advance for my awkwardness.	我就試吓講幾句，算係拋磚引玉，失禮晒。
I would like to travel to Singapore, but I don't want to join a tour group.	我想去星架坡旅行，但係唔想參加旅行團。
I want to order some more things to eat, but I can't find a waiter to take my order.	我想叫多啲嘢食，不過搵唔到個喂咜落單。
I would like to ask everybody if they would take photos with their young sons and daughters	我想問吓大家會唔會同仔仔囡囡影沙龍呢？
I want to work in the private sector, as I believe the salary will be more than working for the government.	我想打私人工，相信人工會多過打政府工。
I wanted to take the elevator to go down to the ground floor, but who would know that I first had to go up before I could go down, so I really had to go for an elevator ride.	我想搭𨋢落地下，點知要上，真係遊𨋢河。
I have an old friend who fell into a trap: he was cheated out of his money and tricked into thinking he was loved by a middle-aged woman from mainland China.	我有個老友，中咗招，俾件北嫂騙財騙心。
I have some things to tell you. You'll be so happy you'll definitely explode!	我有啲嘢講畀你知，你肯定開心到爆炸啊！
I haven't started cooking yet, so I think you've got to wait a while before you will have anything to eat.	我未開鑊啊，我諗你要等一陣先至有得食。
My girlfriend says I've gotten her pregnant. Now she wants money to have an abortion.	我條女話我攪大咗佢個肚，而家要錢落仔。
Last night I went to bed at ten o'clock, but it was sometime after midnight before I fell asleep.	我琴晚十點鐘瞓落牀，但十二點幾先瞓覺。
I use this pressure cooker to cook soup and congee, it's been quite good to use.	我用呢個壓力煲煲湯、煲粥，都幾好用㗎。
My boyfriend is not only handsome and stylish, but he also dances quite well.	我男朋友唔單只靚仔有型，跳舞仲好勁𠻹。
My boyfriend quite likes to tell bad jokes, but nobody laughs.	我男朋友好鍾意攪爛gag，但係冇人笑。
When I wear boxer shorts and go out on the street my dick's swinging back and forth, so it's quite easy to get an erection.	我着孖煙囪出街時碌嘢條條捹，好易扯旗。
After I've experienced wearing boxer shorts, I really wouldn't go back to wearing briefs again.	我着過孖煙囪之後真係唔會再着番三角底。
I think these several rings of yours are all just merely fakes.	我睇你呢幾個戒指都係朱義盛，假嘢嚟啫。
I know you came in first on the exam, but you don't have to go around acting like you're so smart.	我知你考第一，但係你都唔使懶醒噉樣㗎。
The first time I played chess with him, I had checkmate within just ten minutes.	我第一次同佢捉棋喺十分鐘之內就有盟籠。
I had been waiting for half an hour before the bus came, but then to my surprise it failed to stop here.	我等咗半個鐘先有車嚟，點知架車又飛站。
When I was small I also sucked on a pacifier, and now I don't have any buckteeth.	我細個嗰時都有啜奶嘴，而家都冇哨牙嘅。
For my husband watching soccer is the most important thing in the world. Getting in his way to watch soccer equals looking for death	我老公睇波大過天，阻住佢睇波等於搵死！
I'm now waiting to cross the efficiency bar on the pay scale, but I'm afraid I don't have much of a chance.	我而家坐緊監，但睇怕都係冇乜機會嘅喇。
I heard the taxi driver say, "Today I've already crossed the harbor several times"	我聽個的士司機話，今日經已潛咗水幾次喇
I myself have been working in this profession all along, so I'm quite familiar with it.	我自己一直都係做開呢行，所以都幾熟㗎。
I myself am doing fine, but several days ago she was already rather sick.	我自己冇事，但係佢先幾日經已病病哋喇。
I want to order ten thousand items, so if you give me 20 percent off, then everyone gains from the deal.	我要一萬件，你畀八折我，大家有數為㗎。
Seeing my son inside the dock, I really feel quite pained.	我見到個仔喺個犯人欄入便，真係好肉赤。
I invited two Western friends to eat dinner with my family members on Chinese New Year's eve.	我請兩個西人朋友同我家人一齊食團年飯。
I study in an all-boys' school, so I don't even have an ordinary female friend.	我讀和尚寺，所以連普通嘅女性朋友都冇。
When I was studying in elementary school a classmate of mine was also hit and killed by a car at that place.	我讀小學嗰陣都有個同學喺嗰度俾車車死。
I've retired and find nothing to do at home, so my life is really boring.	我退咗休，喺屋企又冇嘢做，真係無聊賴。
I like to hear some critical opinions, so there's no need to make flattering remarks to me all the time.	我鍾意聽啲批評嘅意見，唔使成日笠我嘅。
My house has windows on the west, so when the hot sun shines in it's just unpleasantly hot.	我間房有西窗，西斜熱射入嚟，就熱到極。
My baby had a bit of fever, so I then took him to see the doctor.	我阿B仔有啲發燒，所以就帶佢去睇醫生。
Whenever my older brother becomes nervous he then stammers, and is very shy.	我阿哥一緊張就窒口窒舌，佢份人好怕醜。
My daughter is a TV addict, so as soon as the TV is turned on she then watches it till her eyes have a fixed and lost look.	我阿女係電視精，一開電視就睇到眼定定。
When Mom has nothing to do she goes shopping. Ninety percent of the time it's really to window-shop without buying anything.	我阿媽冇嘢做去行街，九成真係齋行唔買。
My puppy dog is always gnawing on stuff. He quite likes to gnaw on my slippers.	我隻狗仔成日咬嘢，好鍾意咬我啲拖鞋啊。
We have to go even if there's a typhoon. It's raining just a little bit, so let's simply ignore it.	打風都要去啦，落幾滴雨，一於當佢冇到。
After we get off work, would you be interested in playing snooker with me?	放咗工，你有冇興趣同我玩番盤士碌㗎啊？
The driving instructor said to the student, "After you've shifted into first gear, the car will start moving"	教車師傅對學生話，入完一波，部車開始行
What good things do we have to eat at Chinese New Year? Let me tell you so you'll know!	新年有啲咩好嘢食？等我為食貓話你知啦！
Given that the salary of that company is much higher, why don't you switch to a job there?	既然嗰間公司人工高咁多，點解唔跳槽啫？
Every day he eats so few things, it's no wonder he's just a skinny boy like that.	日日都食咁少嘢，唔怪得到成個奀仔噉啦。
Don't go looking for trouble, as young guys should definitely not act so rashly.	是非皆因強出頭，後生仔千祈唔好咁衝動。
These days lots of swindlers have appeared in this district, and many people have fallen into their traps.	最近呢區好多騙徒出沒，好多人都中咗招。
I recently heard people say he is secretly dating a white girl.	最近我聽人哋話佢靜靜雞同個鬼妹拍緊拖。
Let's sit down and talk if you have any opinions, but don't create such a noisy disturbance in the office.	有乜意見坐低講，唔好喺辦公室度呱呱嘈。
A kidnapper used a lollipop and then abducted a young boy.	有個拐子佬用咗一枝波板糖就拐咗個細路。
Having these two good hands join us, we now almost certainly have the championship in the bag this time.	有呢兩位高手加盟，今次冠軍實冇走雞喇。
Some children weren't careful burning wax and were then injured so they needed to go to the hospital.	有啲細路仔唔小心煲蠟就受傷需要入醫院。
In recent years some airline companies have strongly encouraged the online service of buying airline tickets.	有啲航空公司近年大力催谷網上售票服務。
Some porn stars feel they need to undergo breast implants in order to find work.	有啲豔星覺得佢哋需要隆胸先至搵到工作。
I haven't read this magazine thoroughly yet. I only took a quick look at its contents page.	本雜誌我未認真睇過，淨係瞄吓個目錄啫。
For this automobile one tank of gas is enough to drive for five to six hundred kilometers.	架車入一次油，閒閒哋都行得五六百公里。
The car's power steering may possibly have some problems, as I can't turn the steering wheel.	架車嘅風油軚可能有啲問題，我擰唔到軚。
Every time the TV goes on the blink, the picture shifts between color and black and white.	架電視每次神起上嚟就一陣彩色一陣黑白。
A certain movie star was snapped by paparazzi while he was in an intimate position with his girlfriend.	某明星俾狗仔隊拍到佢同女友親密嘅鏡頭。
Of course I know that nothing he says is true, so what's the point in getting mad?	梗係我知道佢講嘢冇句真㗎啦，使乜嬲啫？
That chap has been loitering around the doorway of the goldsmith shop and looks quite suspicious.	條友响金舖門口思思縮縮噉，有啲可疑喎。
The girl was good looking with a great figure. As soon as I saw her I then knew she was a good screw!	條女樣靚身材正，我一睇就知佢好砌得㗎！
You're on your way out, so could you please throw away the trash for me while you're at it?	橫掂你出街，唔該趁手幫我倒埋啲垃圾吖？
What a licentious guy! When he sees a pretty girl, he becomes infatuated with her at first sight.	正一麻甩佬，見到個靚女，就生螆貓入眼。
Every Sunday lots of hawkers come here and set up stalls from which they sell things.	每個星期日都有好多小販嚟呢度擺檔賣嘢。
Every morning some old people come to this park to practice tai chi chuan.	每個朝頭早都有啲老人嚟呢個公園耍太極。
Every time when he is asked to pay back the money, all he does is beat around the bush.	每次問佢幾時還錢，佢就一味喺度耍太極。
During the outbreak of SARS many health care workers got infected by the disease.	沙士爆發期間，有唔少嘅醫謢人員中咗招。
That fat guy working in customs is hard to deal with, so we must try to avoid him.	海關嗰個肥佬好惡死，我哋要避開佢先得。
In order to keep his son in the university, he has to work very hard in a factory.	為咗供個仔讀大學，佢要喺工廠度捱騾仔。
In order to change a twenty-dollar banknote into coins, he bought a newspaper.	為咗將張二十蚊紙暢散銀，佢買咗張報紙。
He beat someone up like that for no reason, so that hooligan is really evil!	無端端將人哋打成噉，個衰仔真係冇陰功！
No matter if one takes drugs or smokes opium, it is very harmful to one's body.	無論係啪丸仔定係食大煙，都係好傷身嘅。
No matter if one takes drugs in pill form or smokes heroin, it is very harmful to one's body.	無論係啪丸仔定係食白粉，都係好傷身嘅。
To cook a boiled egg I first get the water boiling before I put the egg into it.	煮白烚蛋我先煲滾啲水先至放隻雞蛋落去。
His father said to him, you're such a big man but you still want to get free room and board?	爸爸對佢話，你咁大個人仲想白食白住呀？
Dad's now going to take you to ride on the roller coaster. Isn't it wonderful?	爹哋而家帶你去玩過山車，係咪好正斗呢？
A jewelry store was burglarized while it was occupied, and it's temporarily not known how much the loss was.	珠寶店遭人爆熱格，暫時未知有幾多損失。
Every time these scoundrels have their party, I have to clean up after them.	班衰仔次次開大食會都要人幫佢哋執手尾。
Weren't you looking for Mr. Lee yesterday? Were you eventually able to find him?	琴日你唔係搵李先生嘅？後尾有冇搵到啊？
Weren't you looking for Mr. Lee yesterday? Were you eventually able to find him?	琴日你唔係搵李先生嘅？後屘有冇搵到啊？
Weren't you looking for Mr. Lee yesterday? Were you able to find him eventually?	琴日你唔係搵李生嘅？褸屘有冇搵到佢啊？
Last night you drank several cups of coffee, so it's not surprising you couldn't fall asleep.	琴晚你飲咗幾杯咖啡喎，瞓唔着唔出奇吖。
Last night a Cantonese opera was performed at the Sunbeam Theater in North Point, so did you go see it?	琴晚北角新光戲院做大戲，你有冇去睇啊？
Last night in Yuen Long the police carried out anti-prostitution raids and arrested more than ten prostitutes.	琴晚喺元朗度警察掃黃，拘捕十幾個娼妓。
Last night I went together with some friends to Jordan to hang out in an upstairs bar.	琴晚我同啲朋友一齊去佐敦蒲間樓上酒吧。
At that time even though it was so dangerous, you still stayed so calm, and you really impressed me.	當時咁牙煙你都仲咁老定，我真係服咗你。
If Miss Baak were not a perfectionist, she would have gotten married long ago.	白小姐如果唔係眼角高，一早就結咗婚啦。
What a coincidence! I bumped into him just as I was going out the door.	真係有咁啱得咁嘺，我一出門口就碰到佢。
That woman in the mink coat always appears in the newspapers.	着住MINK嗰個女人成日都上報紙㗎啦。
Look at your appearance, you wear shorts and flip-flops. You're just like an old male vendor in a wet market.	睇你個樣，着短褲拖鞋，成個街市阿伯噉。
I wish you progress in the new year, good health, and that you soon get married and start a new family.	祝你新年進步，身體健康，早日置番頭家。
As for how the two of them got separated and then reunited over and over again, it's really a long story.	究竟佢哋兩個點樣又分又合，真係有古講。
As for overseas Chinese girls, some are quite good-looking, and very easy to start up a romantic relationship with.	竹升妹呢，有啲都幾正㗎，係好容易達着。
We had to wait for the referee to blow the whistle to end the match before we knew which team had won and which team had lost.	等到球證吹長雞完場，先知邊隊贏邊隊輸。
When I was young, my family was very poor, and for several years we had to endure hunger.	細個嗰陣時我家人好窮，有幾年要捱肚餓。
After this fiasco, he started to feel disheartened about his marriage.	經過今次打擊，佢對婚姻嘅事經已好心淡。
As long as the general manager has not yet retired, how can you have the chance to take over his position?	總經理一日未退休，你邊度有機會坐正吖？
American stocks have continued falling, so that eroded investors' confidence in the market.	美股持續滑落，令投資者對後市缺乏信心。
My husband is speaking Hoklo language with some friends. I can understand it but can't speak it.	老公同啲朋友講緊鶴佬話，我識聽唔識講。
My husband's hair is both coarse and stiff. He certainly can't wear it parted.	老公頭髮又厚又硬，一定唔可以留西裝頭。
My old husband is extremely sick. He needs someone to look after him all the time.	老嘢係病得好犀利㗎，成日需要人照顧佢。
The lady of the house got very angry at me, so what could I do but submit to her will and accept the blame?	老婆大人大發雷霆，我仲唔扮死狗認錯咩？
The wife is very happy to see her husband drink up her tasty and nutritious slow-cooked soup.	老婆見到老公飲晒佢煲嘅老火靚湯好開心。
The boss harshly scolded me, saying he told me to do some stuff and I didn't do anything!	老細喪鬧我，話佢叫我做啲嘢我乜都冇做！
The boss is quite unhappy. Maybe he'll create some troublesome situation for you to enjoy!	老細好唔高興，或者會整鑊杰嘢畀你歎吓！
Boss, he just makes a mess of things when he's here, so wouldn't it be better for you to fire him?	老細，佢都喺度倒米嘅，你不如炒咗佢啦！
Don't you understand that times have changed? You're still trying to manage everything about your children's weddings!	而家乜嘢時候啊？你仲想包辦仔女嘅婚姻！
Now that all of your children have their own families and careers, so you must feel fully satisfied, right?	而家啲仔女個個都成家立業，你安樂晒啦？
It's quite enjoyable to watch movies on a computer nowadays.	而家用電腦都可以睇電影，又幾盞鬼個噃。
We are having a meeting now, so why are some of you murmuring and mumbling here?	而家開緊會，你哋幾個做乜喺度吱吱斟斟？
It's rather interesting to listen to those white foreigners speak Chinese.	聽啲紅鬚綠眼嘅鬼佬講中文，都幾得意喎。
I will travel tomorrow, but there are still lots of miscellaneous things that I have to do in preparation for it.	聽日去旅行，仲有好多林林沈沈嘢要準備。
The exam is tomorrow, but I still haven't studied for it, so it's really going to kill me!	聽日要考試啦，我仲未溫過書，真係攞命！
I have heard rumors that you have completely broken off with your girlfriend today, so is it really true?	聽講你同女朋友今日斬咗纜，係唔係真㗎？
As the stock market has fallen so sharply, we had better immediately adopt decisive measures and stop all our trading activities.	股市跌得咁犀利，不如我哋即刻斬纜罷啦。
Ever since I had split with my boyfriend several years ago and right up till now I haven't dated anyone.	自從幾年前同男友分咗手我一直都冇拖拍。
Ballet and linguistics seem to be two completely unrelated things.	芭蕾舞同語言學就好似打邊爐同打屎𦡆噉。
The teahouse's business is really very good, and the waiters are all extremely busy.	茶樓生意真係幾好，啲侍應都忙到踢晒腳。
The accused is a primary-school principal, and was originally charged with two offenses of indecent assault.	被告人係小學校長，原來被控兩項非禮罪。
Be careful going into a place with 'special' massage, as people assume you want to have a massage that includes illegal sexual services.	要小心入去邪骨場，人哋以為你想𢱕邪骨。
In order to continue operating, it is necessary for our company to open up overseas markets.	要繼續經營，我哋公司就要拓展海外市場。
Having discovered that his cat had disappeared, the owner searched like crazy everywhere in the streets for it.	見隻貓唔見咗，個主人就發晒茅噉周街搵。
Please put these beans in water and tomorrow morning they will be swollen up.	請你放呢啲豆落水度，聽朝啲豆就會發水。
Please put these beans in water, and tomorrow morning they will be swollen up.	請你放呢啲豆落水度，聽朝啲豆就會發水。
Excuse me, is there an all night cross-border bus going from Huanggang to Shatin?	請問，有冇通宵過境巴士由皇崗去沙田啊？
The police do not rule out that the deceased person was killed in a gangland execution.	警方唔排除死者係遭黑幫執行家法而死嘅。
If you don't have the correspondingly suitable experience and qualifications, how can you become the company's president?	資歷如果冇番咁上下，點可以做董事長啊？
You are better at soccer than I am, but I play badminton better than you do.	足球唔夠你踢，羽毛球你就唔夠我打㗎喇。
I quarreled with Mom before I went to school and that made me unhappy all day.	返學前同阿媽霎氣，攪到我成日都唔開心。
Of course going to work is tiring, and so I've done it till I can't endure it, and I'm not doing it anymore.	返工更係辛苦啦，我都做到捱唔住冇做嚕。
You are so enthusiastic about finding a girlfriend, but I can't see you paying the same attention to your studies.	追女仔就咁落力，讀書又唔見你咁有心機。
Ordinarily I will buy the newspaper at this newsstand before going to yum cha.	通常我會喺呢檔書報攤買張報紙先去飲茶。
Be more tactful, as he just lost money, so you better not urge him to pay back the money right now.	通氣啲啦，佢啱啱輸咗錢你咪追佢還錢啦。
Being five to ten minutes late is still forgivable, but it is unacceptable to arrive extremely late.	遲一兩個字仲可以原諒，遲大到就唔得嘞。
The Heung Yee Kuk is a statutory advisory body for the indigenous inhabitants of Hong Kong's New Territories.	鄉議局係香港新界原居民嘅法定諮詢機構。
The doctor says I can eat bananas while carrying my unborn baby. It's not a problem.	醫生話，我陀BB可以食香蕉，冇問題喎。
Working long hours has caused not a few Hongkongers to develop the habit of eating a late night snack.	長時間工作令到唔少港人養成食宵夜習慣。
Occasionally some drivers put fuel in their tanks and don't pay for it. They take off without having paid the money.	間中有啲司機入霸王油，唔畀錢開車走人。
The museum has some old stuff from the past that you guys can look at.	間博物館有啲叫做陳年舊嘢你哋可以睇吓。
Odd smells were coming from the apartment and after the door was forcibly opened a dead body was found inside.	間屋傳出惡臭，破門後發現入便有條鹹魚。
The toilet has such a stench of urine that it's like it hasn't been cleaned for a long time.	間廁所齃堪堪噉，好似好耐冇人洗乾淨佢。
The shop is very small, but the monthly rent is nearly one hundred thousand dollars, so it's relatively high-priced.	間舖仔細細，但月租近十萬蚊，相當揦脷。
My daughter quite likes the cello, but she hasn't got any natural ability in music.	阿女好鍾意個車佬，但佢對音樂冇咩天份。
Teacher tells us don't smoke cigarettes, but he himself also smokes.	阿蛇叫我哋唔好食煙，但係佢自己都食啦。
Unless you still have questions that you want to ask, you can leave.	除非你仲有問題要問，唔係就可以走㗎喇。
Mrs. Chan, welcome to my shop. What can I do to help you?	陳師奶，歡迎光臨，有乜嘢我可以幫到你？
The male prostitute had slept for just two hours, and then was woken up by a call from the brothel manager.	隻鴨仔瞓得兩個鐘頭，又俾個鴨頭𠹭醒佢。
Although you're already a full forty years of age, you're still such a good-looking guy!	雖然你經已成四張嘢，但係都仲係咁靚仔！
The refrigerator has not been cleaned out for a long time, so it's no wonder it has such a rotten and bad smell.	雪櫃好耐冇洗乾淨囉，唔怪得咁酸宿爛臭。
The concert is going to start immediately, so you hurry up and grab a front-row seat and sit down!	音樂會即將開始，你快啲霸頭位坐定定啦！
Just now I went to Temple Street to have my fortune told with my palm and face, and I have the slight feeling that I was cheated.	頭先我去廟街睇掌相，有少少俾呃嘅感覺。
Just now I went to the library to borrow a book, and I bumped into the teacher who teaches you English.	頭先我去拉記借書，碰到教你英文嘅老師。
Just now I was able to withdraw cash from this ATM, and there wasn't any problem.	頭先我用呢部提款機撳到錢，係冇問題㗎。
Just now I saw some cops giving out tickets to illegally parked cars one by one.	頭先我見到啲差佬逐架違例泊車派牛肉乾。
In Hong Kong there are wholesalers of gutter oil, and they're supplying quite a few food-and-drink syndicates.	香港有坑渠油批發商，供應好多飲食集團。
About three hundred thousand households in Hong Kong have the custom of burning paper offerings to pay respect to their ancestors.	香港約有三十萬戶居民有拜神燒衣嘅習慣。
Most of the okra in Hong Kong supermarkets is imported from Thailand.	香港超級市場嘅毛茄多數係喺泰國入口㗎。
The Hong Kong team wrapped up the match by scoring the last goal three minutes before the end of the game.	香港隊臨完場前三分鐘射入最後一球埋齋。
He can't even give you the answer of what one plus one is. He's an idiot!	一加一佢都答唔到你啦，佢係條豬兜嚟㗎喎！
The whole school becomes very quiet once the vacation comes. You can't find even one person.	一放假，成間學校就靜英英，搵一個人都冇。
Last time you said you two were not dating, but you've already let the cat out of the bag.	上次你仲話你兩個唔係拍拖，今次穿煲喇啩。
There are serviced apartments in Sheung Wan district. The price is about twenty-thousand dollars or so.	上環區有啲月租式住宅，價錢係兩萬蚊左右。
The higher authorities have ordered me to carry out my duties strictly by the book, so I really can't let you get in.	上頭叫到要屙尿入樽，我真係唔畀得你入㗎。
The white-collar workers in Central district all eat fast food at lunch hour.	中環嘅白領階層中午時份全部都係快餐一族。
How meddlesome you are! You even want to know about other people's domestic affairs!	乜你咁諸事㗎，人哋屋企啲嘢你都理埋一份！
People open shops to do business, so they must cover their overhead expenses.	人哋打開門做生意，燈油火蠟，都要皮費㗎。
People open up shops to do business, so they must cover their overhead expenses.	人哋打開門做生意，燈油火蠟，都要皮費㗎。
People see you puff our your cheeks due to grumpiness. Then they know you have no sense of humor.	人哋睇你鼓埋泡腮個樣，就知你冇幽默感喇。
I said I don't like to hear about those things, so why must you talk so much about them?	人哋話唔鍾意聽嗰啲嘢喇，你使乜講咁多啊？
He doesn't listen to anything anyone says, so he has the hardened attitude of someone who won't change his errors.	人哋講乜嘢說話佢都唔理，死豬唔怕滾水淥。
You bastard! When you die, do it far away! Don't get your family involved in your troubles!	仆街仔！你死就死遠啲啦！唔好陀累屋企啊！
Those university students who will graduate this year have all been taken in by several big companies.	今年畢業嘅幾個大學生都俾幾間大公司擸晒。
Today I ate at a sidewalk food stall and then an hour later I had diarrhea.	今日我喺大牌檔食飯，一個鐘頭之後就肚屙。
Today there were no tangerines for sale in the wet market, so I bought these oranges as a substitute.	今日街市冇柑賣，所以我買呢啲橙嚟頂檔喇。
Tonight there's nothing to eat in the house, so why don't we go out and eat Japanese food?	今晚屋企無飯開，我哋不如出去食日本嘢啦！
This morning when I was in the department store settling the account, I found the numbers weren't correct.	今朝喺百貨公司埋數時，我發覺嗰啲數唔啱。
For me to receive the prize this time is largely due to the work of the director, and I have merely benefited from his help.	今次攞獎主要係導演嘅功勞，我係𢺳車邊啫。
The teacher didn't leak any details about the examination this time, so that's why more than half of the class failed.	今次考試先生冇放水，所以大半班都唔合格。
In the past hawkers earned very little and had to bribe the cops, so they lived a really hard life.	以前做小販賺得少，又要派片，生活好艱難。
Taking into consideration the present state of the company, you'll definitely fail with your request to the bank to borrow money.	以而家公司嘅狀况，你去問銀行借錢實撞板。
There are still two more days before you start out, so why have you got your bags packed so early?	仲有兩日至出發，你咁快執定行李先做乜啊？
What kind of service attitude is that? Do you believe me when I say that I'm going to make a complaint against you?	你乜嘢服務態度啊，信唔信我POT你吖嗱！
What's the point of you being so tense? Sooner or later he will give you a call.	你使乜咁緊張唧？佢遲早會打個電話畀你囉。
You believed those scoundrels, and gave them that much money? How really damn stupid you are!	你信嗰啲衰人，畀佢哋咁多錢？真係戇𨳊𨳊！
You believed those scoundrels, and gave them that much money? How really fucking stupid you are!	你信嗰啲衰人，畀佢哋咁多錢？真係戇𨶙𨳊！
You believed those scoundrels and gave them that much money? How really damn stupid you are!	你信嗰啲衰人，畀咗佢哋咁多錢？真係戇𨳊！
When going to Japan to travel, how can you not try pufferfish sashimi?	你到日本旅遊又點可以唔試下雞泡魚刺身啊？
You don't have much money and you don't have any personal connections, so it's hard for you to make a living here.	你又冇乜錢，又冇人事，好難喺度搵食嘅噃。
You don't have much money, and you don't have any personal connections, so it's hard for you to make a living here.	你又冇乜錢，又冇人事，好難喺度搵食嘅噃。
Why do you seem to be so listless and depressed these few days?	你呢幾日點解好似紙紮公仔，有神冇氣噉啊？
You're so hard to deal by always being disobedient. Nobody likes you!	你咁刁僑扭擰，成日唔聽話，冇人鍾意你㗎！
You're so slender you're too thin to play basketball, but you're too tall to practice diving.	你咁嫋，打籃球就瘦得滯，練跳水又高得滯。
You can see how full of talk he is, but whether he can do anything or not is still difficult to say.	你咪睇佢講得咁口響，做唔做得到都好難講。
All of you should know that now is the best opportunity to come to the table to discuss it	你哋都應該知道依家係埋枱傾嘅最好時機㗎！
If you don't pay me some money to keep my mouth shut, then I'll expose this big scandal.	你唔畀啲錢揞住我把口，我就爆鑊大嘢㗎喇。
You don't like it but he does, so beauty is in the eye of the beholder, and there's nothing odd about that!	你唔鍾意佢鍾意啊，各花入各眼，好出奇咩！
You don't like it but he does, as beauty is in the eye of the beholder, so why do you think there's anything strange about that?	你唔鍾意佢鍾意啊，各花入各眼，好出奇咩？
All of those people you dislike have left already, so what are you still grumbling about?	你唔鍾意嘅人都走晒啦，你仲呻氣啲乜嘢啊？
As your books are so old and worn out, giving them to your younger sister to also use will be very hard to do.	你啲書甩皮甩骨噉，想留畀細妹再用都好難。
You've come so late, but you have lots of work to do, so hurry up and start to work!	你嚟得咁遲，你啲工作又咁多，快啲喐手啦！
That you have been assigned an inactive post may be because the boss is unhappy with your work.	你守水塘可能係因為波士對你嘅工作唔高興。
With so many people in your family, you need to buy the big-sized pot for it to be suitable for use.	你屋企人咁多，要買個大一皮嘅煲先啱用嘞。
You are not young anymore but haven't got married yet, so do you mean to say that you are going to remain an old maid?	你年紀咁大都唔結婚，唔通留番嚟𠓼灶罅咩？
You should have confidence of success, as I think your application will very likely succeed.	你應該有揸拿嘅，我諗你嘅申請好可能成功。
You're always so boastful, but your grades are just so-so.	你成日咁牙擦擦吖，但係你啲成績麻麻咋噃。
You stay at home the whole day leaving your fate to heaven. By doing that how can you find work to do?	你成日坐喺屋企望天打卦，噉點搵到工做啊？
You make a sour face all the time, so even if people want to chat with you, they dare not do so.	你成日𢲡埋口面，人哋想同你傾偈都唔敢啦。
You pull a long face all the time, so even if people want to chat with you, they dare not do so.	你成日𢲡起塊面，人哋想同你傾偈都唔敢啦。
In talking about winter do you mean here in Hong Kong or there in Australia ?	你所講嘅冬天係指香港呢邊定係澳洲嗰邊啊？
You side with outsiders and help your friends, but you won't help me, your own mother.	你手指拗出唔拗入㗎，幫朋友都唔幫阿媽我。
You broke the glass, so if it becomes known by the school principal, you will definitely be severely scolded.	你打爛咗玻璃，俾校長知道你實食貓麵㗎喇。
Don't give me your shit! Right now you still haven't finished the work, so how can I believe anything you say anymore?	你摺埋啦！而家都未起貨，叫我點再信你啊？
Don't give me your bull shit! Right now you still haven't finished the work, so how can I believe anything you say anymore?	你收皮啦！而家都未起貨，叫我點再信你啊！
Every day you do so much exercise. it's no wonder your figure is considered so fit!	你日日做咁多運動，怪唔得你身形都算弗啦！
Speak up if you have anything to say, and don't hold it back!	你有乜事就講出嚟啦，唔好屈埋喺個心度啊！
You have so many trivial matters, how could I be able to help you?	你有咁多濕濕碎碎嘅嘢，我點能夠幫到你啊？
If your balls hurt, maybe they're inflamed, so hurry up and go see a doctor.	你波子痛，可能係發炎啊，快啲去睇醫生啦。
As you can see, she goes around all the time with her nose stuck up in the air like that, so who among her classmates would like her?	你睇，佢成日頭𩓥𩓥噉，邊啲同學會鍾意佢？
